#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,入手時期集村(0=or/1=and),初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーヘッド,0,0,1,1,1,1,0,1,34,0,0,0,0,0,気まぐれ,2,,,,,,,,,暖かい毛皮,1,鉄鉱石,1,,,,
チェーンヘッド,0,0,1,3,1,1,0,2,35,0,0,1,0,0,,,,,,,,,,,大地の結晶,1,鉄鉱石,1,,,,
ベルダーターバン,0,0,1,1,1,1,0,2,35,0,1,0,0,0,加護,3,,,,,,,,,暖かい毛皮,2,ツタの葉,2,,,,
ハントヘルム,0,0,1,1,1,1,0,2,68,1,0,0,0,0,千里眼,3,,,,,,,,,鉄鉱石,1,大地の結晶,2,,,,
ハントキャップ,0,0,1,1,1,1,0,1,34,2,0,0,0,0,千里眼,4,,,,,,,,,鉄鉱石,1,大地の結晶,2,,,,
マフモフフード,0,0,1,2,1,1,0,2,35,-1,0,0,2,0,耐寒,1,,,,,,,,,暖かい毛皮,2,ガウシカの角,2,,,,
ユクモノカサ,0,0,1,1,1,1,0,2,35,0,0,1,0,0,達人,2,,,,,,,,,ユクモの木,1,丸鳥の羽,1,,,,
ハンターヘルム,0,0,1,0,1,1,0,6,72,0,0,0,0,0,狩人,3,高速設置,2,,,,,,,ファンゴの毛皮,1,マカライト鉱石,1,鉄鉱石,3,,
ハンターキャップ,0,0,1,0,1,1,0,3,36,0,0,0,0,0,狩人,3,高速設置,3,,,,,,,ファンゴの毛皮,1,マカライト鉱石,1,鉄鉱石,3,,
ボーンヘルム,0,0,1,1,1,1,0,6,72,0,0,0,-1,0,KO,4,,,,,,,,,なぞの頭骨,1,とがった牙,2,ギアノスの鱗,1,,
ボーンキャップ,0,0,1,1,1,1,0,3,36,0,0,0,-1,0,KO,5,,,,,,,,,なぞの頭骨,1,とがった牙,2,ギアノスの鱗,1,,
混沌のパオ,0,0,1,1,1,1,0,6,72,2,-2,0,0,0,特殊攻撃,3,,,,,,,,,混沌茸,1,マヒダケ,4,毒テングダケ,4,不死虫,3
混沌のヅァン,0,0,1,1,1,1,0,3,36,2,-2,0,0,0,特殊攻撃,4,,,,,,,,,混沌茸,1,マヒダケ,4,毒テングダケ,4,不死虫,3
ジャギィヘルム,0,0,1,0,1,1,0,6,72,-2,0,0,0,0,攻撃,3,火属性攻撃,1,防御,-2,,,,,ジャギィの鱗,3,ジャギィの皮,3,鳥竜種の牙,5,円盤石,2
ジャギィキャップ,0,0,1,0,1,1,0,3,36,-2,0,0,0,0,攻撃,3,火属性攻撃,2,防御,-2,,,,,ジャギィの鱗,3,ジャギィの皮,3,鳥竜種の牙,5,円盤石,2
マッカォヘルム,0,0,1,1,1,1,0,8,74,-2,0,0,0,0,跳躍,3,,,,,,,,,跳狗竜の鱗,3,王者の冠羽,1,大地の結晶,2,,
マッカォキャップ,0,0,1,1,1,1,0,4,37,-2,1,1,1,1,跳躍,4,,,,,,,,,跳狗竜の鱗,3,王者の冠羽,1,大地の結晶,2,,
ランポスヘルム,0,0,1,1,1,2,0,8,74,0,0,0,-2,0,気絶,3,麻痺,-3,,,,,,,ランポスの大皮,3,ランポスの大爪,1,ランポスの鱗,2,セッチャクロアリ,2
ランポスキャップ,0,0,1,1,1,2,0,4,37,0,1,1,-2,0,気絶,4,麻痺,-3,,,,,,,ランポスの大皮,3,ランポスの大爪,1,ランポスの鱗,2,セッチャクロアリ,2
ギアノスヘルム,0,0,1,0,1,2,0,8,74,0,0,-1,2,0,だるま,3,氷属性攻撃,3,睡眠,-3,,,,,ギアノスの鱗,2,ギアノスの皮,2,鉄鉱石,3,ガウシカの角,1
ギアノスキャップ,0,0,1,0,1,2,0,4,37,0,0,-1,3,0,だるま,4,氷属性攻撃,3,睡眠,-3,,,,,ギアノスの鱗,2,ギアノスの皮,2,鉄鉱石,3,ガウシカの角,1
ゲネポスヘルム,0,0,1,2,1,2,0,10,76,0,0,1,-2,0,麻痺,2,毒,-2,,,,,,,ゲネポスの大皮,2,ゲネポスの大牙,2,鉄鉱石,4,竜骨【小】,2
ゲネポスキャップ,0,0,1,2,1,2,0,5,38,1,0,2,-2,0,麻痺,3,毒,-2,,,,,,,ゲネポスの大皮,2,ゲネポスの大牙,2,鉄鉱石,4,竜骨【小】,2
ランゴヘルム,0,0,1,2,2,3,0,10,76,-2,1,1,1,2,特殊攻撃,1,属性攻撃,-2,,,,,,,ランゴスタの羽,3,鉄鉱石,4,セッチャクロアリ,2,,
ランゴキャップ,0,0,1,2,2,3,0,5,38,-2,2,2,2,3,特殊攻撃,2,属性攻撃,-2,,,,,,,ランゴスタの羽,3,鉄鉱石,4,セッチャクロアリ,2,,
タロスヘルム,0,0,1,1,1,3,0,10,76,-1,-1,-1,-1,4,龍属性攻撃,3,,,,,,,,,カンタロスの頭,1,カンタロスの甲殻,4,セッチャクロアリ,3,モンスターの体液,1
タロスキャップ,0,0,1,1,1,3,0,5,38,-1,-1,-1,-1,6,龍属性攻撃,4,,,,,,,,,カンタロスの頭,1,カンタロスの甲殻,4,セッチャクロアリ,3,モンスターの体液,1
