#名前,"性別(0=両,1=男,2=女)","タイプ(0=両方,1=剣士,2=ガンナー)",レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,入手時期集村(0=or/1=and),初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数
レザーパンツ,0,0,1,1,1,1,0,1,34,0,0,0,0,0,採取,3,,,,,,,,,首鳴竜の皮,2,,,,,,
チェーンパンツ,0,0,1,0,1,1,0,2,35,0,0,1,0,0,体力,5,,,,,,,,,鉄鉱石,2,暖かい毛皮,2,,,,
ベルダーグリーヴ,0,0,1,0,1,1,0,2,35,0,1,0,0,0,加護,3,,,,,,,,,暖かい毛皮,1,鉄鉱石,2,,,,
ハントグリーヴ,0,1,1,2,1,1,0,2,68,1,0,0,0,0,高速設置,3,,,,,,,,,鉄鉱石,2,ランポスの皮,1,,,,
ハントレギンス,0,2,1,2,1,1,0,1,34,2,0,0,0,0,高速設置,3,,,,,,,,,鉄鉱石,2,ランポスの皮,1,,,,
マフモフブーツ,0,0,1,0,1,1,0,2,35,-1,0,0,2,0,耐寒,4,,,,,,,,,暖かい毛皮,2,ガウシカの角,2,,,,
ユクモノハカマ,0,0,1,2,1,1,0,2,35,0,0,1,0,0,回避性能,2,,,,,,,,,ユクモの木,2,セッチャクロアリ,2,,,,
ロックラックブーツ,0,0,1,0,1,1,0,2,35,1,0,0,0,2,運搬,4,耐暑,1,,,,,,,甲虫の大顎,3,モンスターの体液,2,大地の結晶,2,,
ハンターグリーヴ,0,1,1,2,1,1,0,6,72,0,0,0,0,0,狩人,1,,,,,,,,,ファンゴの毛皮,1,ジャギィの皮,2,竜骨【小】,2,,
ハンターレギンス,0,2,1,2,1,1,0,3,36,0,0,0,0,0,狩人,1,,,,,,,,,ファンゴの毛皮,1,ジャギィの皮,2,竜骨【小】,2,,
ボーングリーヴ,0,1,1,0,1,1,0,6,72,0,0,0,-1,0,笛,6,,,,,,,,,竜骨【中】,2,なぞの骨,2,ランポスの皮,1,,
ボーンレギンス,0,2,1,0,1,1,0,3,36,0,0,0,-1,0,笛,6,,,,,,,,,竜骨【中】,2,なぞの骨,2,ランポスの皮,1,,
狩人の革臑当,0,1,1,0,1,1,0,6,72,0,1,0,0,0,野草知識,5,,,,,,,,,ガウシカの角,1,暖かい毛皮,4,鉄鉱石,1,,
狩人の革長靴,0,2,1,0,1,1,0,3,36,0,1,0,0,0,野草知識,5,,,,,,,,,ガウシカの角,1,暖かい毛皮,4,鉄鉱石,1,,
跳狗竜の革臑当,0,1,1,2,1,1,0,6,72,0,0,1,0,0,減気攻撃,3,,,,,,,,,マッカォの皮,3,マッカォの鱗,1,鳥竜種の牙,4,,
跳狗竜の革長靴,0,2,1,2,1,1,0,3,36,0,0,1,0,0,減気攻撃,3,,,,,,,,,マッカォの皮,3,マッカォの鱗,1,鳥竜種の牙,4,,
狗竜の革臑当,0,1,1,2,1,1,0,6,72,0,0,0,1,0,達人,3,,,,,,,,,ジャギィの皮,3,ジャギィの鱗,1,鳥竜種の牙,4,,
狗竜の革長靴,0,2,1,2,1,1,0,3,36,0,0,0,1,0,達人,3,,,,,,,,,ジャギィの皮,3,ジャギィの鱗,1,鳥竜種の牙,4,,
ジャギィグリーヴ,0,1,1,1,1,1,0,6,72,-2,0,0,0,0,火属性攻撃,2,,,,,,,,,ジャギィの皮,4,ジャギィの鱗,2,竜骨【中】,2,マカライト鉱石,2
ジャギィレギンス,0,2,1,1,1,1,0,3,36,-2,0,0,0,0,火属性攻撃,2,,,,,,,,,ジャギィの皮,4,ジャギィの鱗,2,竜骨【中】,2,マカライト鉱石,2
マッカォグリーヴ,0,1,1,1,1,1,0,8,74,-2,0,0,0,0,跳躍,2,,,,,,,,,跳狗竜の鱗,3,跳狗竜の赤皮,2,首鳴竜の皮,4,,
マッカォレギンス,0,2,1,1,1,1,0,4,37,-2,1,1,1,1,跳躍,1,,,,,,,,,跳狗竜の鱗,3,跳狗竜の赤皮,2,首鳴竜の皮,4,,
ランポスグリーヴ,0,1,1,2,1,2,0,8,74,0,0,0,-2,0,気絶,3,麻痺,-3,,,,,,,ランポスの皮,2,ランポスの鱗,3,竜骨【小】,4,鉄鉱石,4
ランポスレギンス,0,2,1,2,1,2,0,4,37,0,1,1,-2,0,気絶,2,麻痺,-3,,,,,,,ランポスの皮,2,ランポスの鱗,3,竜骨【小】,4,鉄鉱石,4
ギアノスグリーヴ,0,1,1,3,1,2,0,8,74,0,0,-1,2,0,,,,,,,,,,,ギアノスの鱗,2,ギアノスの皮,2,大地の結晶,2,竜骨【小】,2
ギアノスレギンス,0,2,1,3,1,2,0,4,37,0,0,-1,3,0,,,,,,,,,,,ギアノスの鱗,2,ギアノスの皮,2,大地の結晶,2,竜骨【小】,2
ゲネポスグリーヴ,0,1,1,0,1,2,0,10,76,0,0,1,-2,0,雷属性攻撃,5,,,,,,,,,ゲネポスの大皮,2,ゲネポスの皮,4,鉄鉱石,4,ファンゴの毛皮,2
ゲネポスレギンス,0,2,1,0,1,2,0,5,38,1,0,2,-2,0,雷属性攻撃,5,,,,,,,,,ゲネポスの大皮,2,ゲネポスの皮,4,鉄鉱石,4,ファンゴの毛皮,2
ランゴグリーヴ,0,1,1,2,2,3,0,10,76,-2,1,1,1,2,特殊攻撃,2,属性攻撃,-1,,,,,,,ランゴスタの羽,2,円盤石,3,モンスターの体液,1,,
ランゴレギンス,0,2,1,2,2,3,0,5,38,-2,2,2,2,3,特殊攻撃,1,属性攻撃,-1,,,,,,,ランゴスタの羽,2,円盤石,3,モンスターの体液,1,,
タロスグリーヴ,0,1,1,1,1,3,0,10,76,-1,-1,-1,-1,4,龍耐性,3,龍属性攻撃,3,,,,,,,カンタロスの羽,3,カンタロスの甲殻,3,大地の結晶,4,キラビートル,1
タロスレギンス,0,2,1,1,1,3,0,5,38,-1,-1,-1,-1,6,龍耐性,3,龍属性攻撃,2,,,,,,,カンタロスの羽,3,カンタロスの甲殻,3,大地の結晶,4,キラビートル,1
ブナハブーツ,0,1,1,0,1,3,0,10,76,-2,0,0,0,2,斬れ味,5,火耐性,-3,,,,,,,飛甲虫の甲殻,2,飛甲虫の羽,3,キラビートル,2,セッチャクロアリ,3
ブナハフット,0,2,1,0,1,3,0,5,38,-2,1,1,1,3,弾薬節約,5,火耐性,-3,,,,,,,飛甲虫の甲殻,2,飛甲虫の羽,3,キラビートル,2,セッチャクロアリ,3
モスフット,0,0,1,0,1,1,0,5,38,0,0,0,0,0,食いしん坊,3,,,,,,,,,モスの苔皮,1,ファンゴの毛皮,2,大猪の皮,1,セッチャクロアリ,1
リノプログリーヴ,0,1,1,0,1,2,0,12,78,2,0,0,-2,0,砲術,3,,,,,,,,,草食竜の甲殻,2,竜骨【小】,6,氷結晶,2,,
